Wall time,Step,Value
1618128440.19806,0,-36.967529296875
1618128442.8684769,100,-501.7490539550781
1618128448.035227,300,-433.1287841796875
1618128451.0082963,400,-1759.5633544921875
1618128453.6006708,500,-340.07525634765625
1618128456.5253508,600,-2052.94287109375
1618128459.2309847,700,-450.1140441894531
1618128461.8467782,800,-828.179443359375
1618128464.5639343,900,-931.3156127929688
1618128467.2036097,1000,-368.4420166015625
1618128469.9932108,1100,-487.4274597167969
1618128472.943059,1200,-485.64837646484375
1618128475.4924052,1300,-631.3482055664062
1618128478.0396795,1400,-745.1857299804688
1618128480.5741704,1500,-811.9603271484375
1618128483.0873303,1600,-732.2455444335938
1618128485.7217724,1700,-858.6329956054688
1618128488.2888186,1800,-1132.462890625
1618128490.807723,1900,-756.9441528320312
1618128493.3089793,2000,-185.75942993164062
1618128495.795464,2100,-789.9552612304688
1618128498.3312907,2200,-995.0789794921875
1618128500.8920724,2300,-338.0185241699219
1618128503.4039853,2400,-912.98486328125
1618128505.9021692,2500,-762.7152099609375
1618128508.5258672,2600,-1074.07421875
1618128511.0492916,2700,-880.5477905273438
1618128516.1924248,2900,-732.2811889648438
1618128518.719014,3000,-1034.2974853515625
1618128521.5174444,3100,-1922.4346923828125
1618128524.1628258,3200,-1041.174560546875
1618128526.596171,3300,-329.98748779296875
1618128529.1014159,3400,-350.1224060058594
1618128531.729553,3500,-979.1651611328125
1618128534.3887782,3600,-933.9534301757812
1618128536.9518895,3700,-797.998291015625
1618128539.475215,3800,-874.2764892578125
1618128542.1300113,3900,-729.9013061523438
1618128544.8675542,4000,-1019.7998046875
1618128550.2571108,4200,-1003.1969604492188
1618128552.795891,4300,-801.3019409179688
1618128555.2717533,4400,-542.9485473632812
1618128557.8450243,4500,-682.7371826171875
1618128560.3175242,4600,-524.6712646484375
1618128562.8291023,4700,-540.1517944335938
1618128565.368985,4800,-390.7867431640625
1618128567.9279602,4900,-407.3525390625
1618128570.4347332,5000,-502.2456970214844
1618128570.8631427,5001,-466.7713317871094
1618128572.9990246,5002,-242.4031982421875
1618128574.9651072,5003,-816.5883178710938
1618128576.7732599,5004,-714.8433227539062
1618128579.3701868,5005,-905.00439453125
1618128581.4408402,5006,-698.7791137695312
1618128583.5161746,5007,-661.5842895507812
1618128585.9079125,5008,-261.1453552246094
1618128588.350659,5009,-546.241455078125
1618128590.2667456,5010,-305.89373779296875
1618128592.3670304,5011,-457.9695129394531
1618128593.8426397,5012,-193.26791381835938
1618128596.2037458,5013,-410.1086730957031
1618128598.4233382,5014,-334.5986022949219
1618128600.08606,5015,-96.44877624511719
1618128602.5290983,5016,-345.7472229003906
1618128604.7774663,5017,-527.8339233398438
1618128607.0854216,5018,-335.6306457519531
1618128609.5560896,5019,-416.6328125
1618128611.366401,5020,-299.207763671875
1618128612.9845734,5021,-385.776123046875
1618128615.311443,5022,-476.3011169433594
1618128617.601936,5023,-515.6483764648438
1618128619.2358754,5024,-331.24200439453125
1618128621.2069495,5025,-282.7616271972656
1618128622.8272712,5026,-330.3919677734375
1618128624.9087858,5027,-469.5895080566406
1618128626.4328039,5028,-347.54901123046875
1618128628.8251917,5029,-528.2254638671875
1618128631.072789,5030,-478.03399658203125
1618128633.2146192,5031,-351.0947265625
1618128634.6630847,5032,-287.15478515625
1618128636.7836215,5033,-327.6305847167969
1618128638.9547827,5034,-400.4870910644531
1618128641.0176237,5035,-310.8852233886719
1618128643.2380009,5036,-351.6980285644531
1618128645.2774618,5037,-367.297119140625
1618128646.9644017,5038,-246.84912109375
1618128648.4317951,5039,-186.7502899169922
1618128650.9379144,5040,-408.09918212890625
1618128652.767855,5041,-329.55291748046875
1618128654.3855839,5042,-152.95437622070312
1618128655.8365793,5043,-168.013427734375
1618128657.4545615,5044,-164.73191833496094
1618128659.198609,5045,-233.99952697753906
1618128661.1804926,5046,-307.7087097167969
1618128663.4214213,5047,-286.6313171386719
1618128665.2988389,5048,-366.2724609375
1618128666.7460678,5049,-193.9027557373047
1618128669.0799754,5050,-361.9064636230469
1618128671.4253206,5051,-523.9838256835938
1618128673.520758,5052,-478.3255920410156
1618128675.3365457,5053,-238.36273193359375
1618128677.061897,5054,-198.79913330078125
1618128679.078646,5055,-388.53515625
1618128681.4859433,5056,-503.07318115234375
1618128683.1139193,5057,-155.83070373535156
1618128685.0313697,5058,-196.56236267089844
1618128687.3476334,5059,-480.6958312988281
1618128688.8826797,5060,-141.16793823242188
1618128690.6414053,5061,-187.63955688476562
1618128692.8194673,5062,-390.7091979980469
1618128695.06276,5063,-367.2309875488281
1618128696.793078,5064,-130.9733123779297
1618128698.3525054,5065,-109.16585540771484
1618128700.531103,5066,-276.2113342285156
1618128703.0171068,5067,-331.2969665527344
1618128705.5556235,5068,-317.6480407714844
1618128707.7025135,5069,-84.67382049560547
1618128709.915659,5070,-341.60211181640625
1618128712.339441,5071,-421.6219177246094
1618128713.8174074,5072,-109.63599395751953
1618128715.6357594,5073,-99.94181823730469
1618128717.82023,5074,-133.79086303710938
1618128719.6805916,5075,-101.32395935058594
1618128721.36846,5076,-61.38228225708008
1618128723.7681959,5077,-211.76327514648438
1618128727.8551567,5079,-87.05868530273438
1618128729.878209,5080,-102.25552368164062
1618128731.8788073,5081,-17.72990608215332
