Wall time,Step,Value
1618126277.1066482,0,-219.98800659179688
1618126282.4793792,100,-482.1751403808594
1618126292.8271887,300,-315.2022399902344
1618126297.9639916,400,-281.1890563964844
1618126303.0256572,500,-161.2228546142578
1618126308.2112458,600,-305.6397399902344
1618126314.9476657,700,-289.6397399902344
1618126321.693655,800,25.755218505859375
1618126328.3629224,900,46.05289077758789
1618126334.698526,1000,-141.947265625
1618126341.553243,1100,24.54153823852539
1618126348.3706586,1200,49.36137008666992
1618126355.189129,1300,5.61331844329834
1618126360.265807,1400,-18.987852096557617
1618126367.0051658,1500,70.92042541503906
1618126373.7790096,1600,105.53410339355469
1618126380.5201833,1700,41.75526428222656
1618126386.3979647,1800,214.13014221191406
1618126393.3864994,1900,68.02928161621094
1618126400.2725677,2000,78.45149993896484
1618126407.3750045,2100,54.84769821166992
1618126414.1450224,2200,8.072223663330078
1618126420.551817,2300,274.0400085449219
1618126425.9964383,2400,299.0423278808594
1618126433.0627751,2500,32.52311325073242
1618126439.17159,2600,-72.55995178222656
1618126444.814935,2700,3.3157601356506348
1618126455.894142,2900,-9.005670547485352
1618126462.9939303,3000,62.84049987792969
1618126469.170057,3100,188.43783569335938
1618126476.1028075,3200,87.42620086669922
1618126481.3772953,3300,272.8515930175781
1618126486.4639735,3400,57.90493392944336
1618126491.763084,3500,312.2606201171875
1618126498.7073221,3600,30.192195892333984
1618126504.8119347,3700,-185.66015625
1618126511.6010659,3800,-4.705821990966797
1618126516.8110828,3900,-198.8490753173828
1618126521.9068418,4000,43.3419303894043
1618126532.9438148,4200,278.3519592285156
1618126538.14721,4300,23.27719497680664
1618126545.1760714,4400,89.32086944580078
1618126550.9583156,4500,309.084228515625
1618126556.9871635,4600,-393.2751159667969
1618126562.3895426,4700,290.0057067871094
1618126568.1119852,4800,251.4928741455078
1618126573.3850896,4900,311.32440185546875
1618126587.6421962,5000,270.1010437011719
1618126591.8383403,5001,47.00791549682617
1618126593.9699862,5002,-32.73790740966797
1618126596.809492,5003,-51.889991760253906
1618126599.5263298,5004,-9.957874298095703
1618126603.8192735,5005,-37.11232376098633
1618126615.125201,5006,291.3701171875
1618126626.8631253,5007,201.71250915527344
1618126637.7688386,5008,201.69284057617188
1618126651.6929872,5009,242.67018127441406
1618126656.8426542,5010,43.77535629272461
1618126661.8867059,5011,58.23441696166992
1618126667.100661,5012,24.989030838012695
1618126675.2510715,5013,-276.2340087890625
1618126690.5202634,5014,74.03759765625
1618126700.6403792,5015,241.3192138671875
1618126704.5574765,5016,-21.883941650390625
1618126707.4223244,5017,34.921241760253906
1618126710.5853446,5018,-25.90413475036621
1618126714.648327,5019,32.761478424072266
1618126719.1718206,5020,31.334657669067383
1618126726.717299,5021,297.02227783203125
1618126740.1563425,5022,210.3836212158203
1618126748.686886,5023,245.26255798339844
1618126754.5861216,5024,275.6653137207031
1618126763.4549181,5025,292.09869384765625
1618126767.4585922,5026,-37.544273376464844
1618126775.5834892,5027,-77.56936645507812
1618126781.07477,5028,-12.021697998046875
1618126794.304338,5029,208.08375549316406
1618126808.959002,5030,189.55950927734375
1618126812.4933283,5031,-31.821813583374023
1618126820.2389333,5032,197.6648712158203
1618126828.8260121,5033,199.4432373046875
1618126843.9886007,5034,95.64861297607422
1618126853.0585363,5035,227.5228271484375
1618126857.1291835,5036,-10.876428604125977
1618126865.152287,5037,260.0885925292969
1618126867.5703723,5038,7.823615550994873
1618126872.5514054,5039,-9.604635238647461
1618126882.8141334,5040,183.548583984375
1618126891.8011448,5041,194.3475341796875
1618126896.410966,5042,-16.13225746154785
1618126911.9970798,5043,110.47518920898438
1618126917.3813674,5044,31.4960880279541
1618126921.338838,5045,19.161548614501953
1618126934.9837396,5046,124.61819458007812
1618126945.1731458,5047,139.189453125
1618126957.0915036,5048,228.82620239257812
1618126964.26987,5049,236.1577911376953
1618126968.2055576,5050,-7.373237609863281
1618126983.3185573,5051,160.05117797851562
1618126987.4036245,5052,7.240923881530762
1618127002.8999999,5053,-89.58209228515625
1618127018.416639,5054,54.149620056152344
1618127023.0483437,5055,-36.80778884887695
1618127027.656861,5056,-4.178808212280273
1618127036.0913243,5057,203.30184936523438
1618127041.4279158,5058,-29.81580924987793
1618127050.0715678,5059,16.67784309387207
1618127065.3755448,5060,-1.8746527433395386
1618127077.9191597,5061,-233.31666564941406
1618127081.2443852,5062,-9.096488952636719
1618127086.113444,5063,9.975608825683594
1618127091.5295496,5064,0.8177229166030884
1618127095.8772142,5065,-119.88414764404297
1618127101.1265106,5066,-25.563161849975586
1618127116.267758,5067,281.3822937011719
1618127122.7750595,5068,-19.905628204345703
1618127130.5472274,5069,271.3274230957031
1618127136.3935761,5070,-11.540942192077637
1618127142.1701825,5071,261.916015625
1618127149.1747687,5072,250.72503662109375
1618127155.055282,5073,-9.342687606811523
1618127170.3111873,5074,116.46764373779297
1618127176.8966153,5075,228.925048828125
1618127185.8699977,5076,246.76210021972656
1618127188.6494396,5077,-17.149612426757812
1618127207.3068233,5079,-96.53221130371094
1618127211.4660738,5080,69.10536193847656
1618127215.8487456,5081,37.96759033203125
1618127218.8893538,5082,6.823548316955566
1618127222.6230707,5083,9.74519157409668
1618127233.2926974,5084,207.0551300048828
1618127241.4652016,5085,246.83990478515625
1618127244.6279345,5086,-27.148645401000977
1618127249.1861658,5087,65.62727355957031
1618127253.2899697,5088,-27.098220825195312
1618127268.8512223,5089,65.01736450195312
1618127271.916262,5090,-39.51131820678711
1618127276.222034,5091,35.662113189697266
1618127279.3647091,5092,5.263943672180176
1618127287.3426116,5093,239.3425750732422
1618127291.1470273,5094,40.46907424926758
1618127298.644791,5095,261.85931396484375
1618127307.5056057,5096,232.9980926513672
