Wall time,Step,Value
1618118168.9959936,0,-358.5275573730469
1618118170.522078,100,-101.13131713867188
1618118173.8321662,300,-192.04896545410156
1618118175.4808323,400,-173.36920166015625
1618118177.2766125,500,-172.8499298095703
1618118179.0563605,600,-234.0640869140625
1618118180.8307207,700,-95.12600708007812
1618118182.5637202,800,-63.8676643371582
1618118184.228755,900,-138.71168518066406
1618118185.8716605,1000,49.0567741394043
1618118187.4399376,1100,34.04691696166992
1618118189.1494155,1200,-263.7383728027344
1618118191.0908158,1300,-369.8653869628906
1618118192.706628,1400,-117.71727752685547
1618118194.3157473,1500,-179.35414123535156
1618118195.94273,1600,-119.45319366455078
1618118197.525543,1700,-235.92807006835938
1618118199.180399,1800,-32.351070404052734
1618118200.8299527,1900,-115.44218444824219
1618118202.4030204,2000,-184.23147583007812
1618118203.9215455,2100,-116.25402069091797
1618118205.5402718,2200,-132.0630340576172
1618118207.3011544,2300,-387.28192138671875
1618118209.23753,2400,-330.2669372558594
1618118210.855659,2500,-215.27488708496094
1618118212.5410216,2600,-216.34996032714844
1618118214.074015,2700,-90.76834869384766
1618118217.3869698,2900,-165.5915985107422
1618118218.984183,3000,-127.26306915283203
1618118220.5272934,3100,-131.77691650390625
1618118222.0704339,3200,-137.16275024414062
1618118223.719433,3300,-157.0102996826172
1618118225.36657,3400,-187.13645935058594
1618118226.851028,3500,-85.23200988769531
1618118228.4138136,3600,-86.79032897949219
1618118231.3019526,3700,-565.4854736328125
1618118232.960206,3800,55.72066879272461
1618118234.645232,3900,11.037704467773438
1618118236.2793052,4000,-130.8233642578125
1618118239.5358512,4200,-136.8130340576172
1618118241.6090975,4300,-333.4340515136719
1618118243.1401274,4400,-149.63612365722656
1618118244.9015992,4500,-365.74591064453125
1618118246.5572338,4600,-177.36195373535156
1618118248.2297258,4700,-104.80481719970703
1618118249.9725251,4800,-18.901559829711914
1618118251.598572,4900,-117.66594696044922
1618118253.2392678,5000,-48.1408576965332
1618118254.769398,5001,-44.72602844238281
1618118259.1173043,5002,-819.92529296875
1618118264.3222415,5003,-282.8161315917969
1618118270.7731154,5004,-186.64187622070312
1618118276.7594225,5005,-10.39316177368164
1618118280.0860631,5006,-104.34980773925781
1618118283.6823676,5007,-149.0034637451172
1618118287.3390114,5008,-478.0254211425781
1618118291.0715132,5009,-455.9914245605469
1618118306.2430122,5010,-47.711490631103516
